,"Reinforce one’s own image, presence, ideology, or values","Legitimise decisions","Seek unity against a hostile enemy","Weaken the opponent’s imagen, presence, identity, ideology, or values","Delegitimise the opponent’s decisions or policies","Promote social change or activate new policies. Call for action","Stop social change or defend the status quo"
1,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO
2,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO
3,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO
4,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO
5,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO
6,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO
7,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO
8,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO
9,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO
10,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO
11,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO
12,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO
13,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO
14,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO
15,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO
16,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO
17,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO
18,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO
19,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO
20,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO
